course_code,course_name,units,year,description,requirements,faculty,outcomes,corequisites,exclusions,recommended,department_name,department_code,instructor,keywords,prereq_codes
ARTH 265,Heritage in Danger,3.0,2.0,"A thematic introduction to the threats posed to cultural heritage, in the past and the present, and approaches to the preservation of heritage. The course will consider both environmental disasters and damage caused by human hands. Case studies will feature many UNESCO World Heritage sites.",Prerequisite (Level 2 or above) or permission of the Department.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""cultural heritage"", ""preservation"", ""UNESCO"", ""environmental disasters"", ""human damage""]",
ARTH 272,Latin American Art,3.0,2.0,"Surveys the art and architecture of Latin America from the pre-Hispanic period to the present, from Patagonia to California. Particular attention is paid to the contribution of Aboriginal artists and traditions to colonial visual culture and the built environment. Considers the rise of the academies, Nationalism, Indigenism, Romanticism, Modernism (Kahlo, Rivera, Tarsila), Madí and Chicano muralism.",Prerequisite (Level 2 or above) or permission of the Department.,Faculty of Arts and Science,,,[],,Art History,ARTH,Gauvin Bailey,"[""Latin America"", ""pre-Hispanic"", ""colonial"", ""Aboriginal artists"", ""Modernism""]",
ARTH 274,Architecture and Empire,3.0,2.0,"A critical assessment of relationship between imperialism and architecture in the European empires in Asia, Africa, and Latin America (15th - 20th centuries). It will consider architecture from the viewpoint both of the colonizer and the colonized, looking at the impact of missionaries, plantation slavery and the slave trade, and Indigeneity.",Prerequisite (Level 2 or above) or permission of the Department.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""imperialism"", ""architecture"", ""colonizer"", ""colonized"", ""missionaries""]",
ARTH 275,Introduction to Global Design History,3.0,2.0,"This course will introduce students to the history of design from the eighteenth-century to the present day in the context of global exchange, colonialism, and industrialization.",Prerequisite Level 2 or above.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""design history"", ""global exchange"", ""colonialism"", ""industrialization""]",
ARTH 277,Artists and Artisans in South Asia,3.0,2.0,"Focusing on a selection of thematic studies from across history, from the Indus Valley Civilization to the present day, this course examines a range of artistic and artisanal works across South Asia including painting, architecture, arts of the book, sculpture, textiles, metalwork, and ceramics, as well as theories of aesthetics and craftsmanship.",Prerequisite (Level 2 or above) or permission of the Department.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""South Asia"", ""Indus Valley"", ""painting"", ""sculpture"", ""textiles""]",
ARTH 288,Art Worlds,3.0,2.0,"This course introduces students to key institutions of art by studying their histories, current practices, and future challenges. Using a case study approach to institutions including museums, artist-run centres, auction houses, and private galleries, the course develops students' understanding of art worlds both in Canada and globally.",Prerequisite (Level 2 or above) or permission of the Department.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""art institutions"", ""museums"", ""galleries"", ""auction houses"", ""Canada""]",
ARTH 292,"Modern Architecture: Aesthetics, Capitalism, Industry",3.0,2.0,"An examination of architecture as it has developed in relation to the economies, technologies, and social practices of the modern world. Our focus will include architectural aesthetics, materials, structures, technologies, and spaces.",Prerequisite (Level 2 or above) or permission of the Department.,Faculty of Arts and Science,,,[],,Art History,ARTH,Katherine Romba,"[""architecture"", ""modern world"", ""aesthetics"", ""materials"", ""technologies""]",
ARTH 293,Self/Image: The Portrait,3.0,2.0,"From ancient Egyptian mummies to contemporary selfies, visual portraits have reflected and shaped ideals of personal and collective identity in diverse cultures and historical periods. This course explores the art of portraiture and its significance in human society. Specific case studies may vary.
NOTE Also offered at Bader College, UK (Learning Hours may vary).",Prerequisite (Level 2 or above) or permission of the Department. Equivalency ARTH 393/3.0*.,Faculty of Arts and Science,,,"[""ARTH 393""]",,Art History,ARTH,,"[""portraiture"", ""identity"", ""Egyptian mummies"", ""selfies"", ""Bader College""]",
ARTH 299,Art and Health Equity,3.0,2.0,"This course introduces students to key themes in health and healthcare equity through in-depth study of art from the Agnes Etherington Art Centre, with the goal of developing students' cultural awareness, safety, humility, empathy, inclusive observation, and inclusive communication skills. Among others, themes include: the human body; healthcare knowledge; determinants of health; mental health; and palliative care.",Prerequisite (Level 2 or above) or permission of the Department.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""health equity"", ""healthcare"", ""cultural awareness"", ""mental health"", ""palliative care""]",
ARTH 301,The Artwork as Material Object,3.0,3.0,A study of selected objects with a focus on materials and meanings.,Prerequisite Level 3 or above.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""objects"", ""materials"", ""meanings""]",
ARTH 304,Issues in the History of Canadian Art,3.0,3.0,"A selective examination of issues in Canadian art history and historical practice, especially as they inform the production and critique of the history of Canadian art.",Prerequisite Level 3 or above.,Faculty of Arts and Science,,,[],,Art History,ARTH,,"[""Canadian art"", ""art history"", ""historical practice"", ""critique"", ""production""]",
