,name,rating_val,num_of_ratings,percent_would_take_again,diff_level,href
0,Olga E Malyshko,4.0,21 ratings,100%,4.4,https://www.ratemyprofessors.com/professor/69749
1,Christopher Andrew Ward,2.3,53 ratings,25%,3.7,https://www.ratemyprofessors.com/professor/192772
2,Francesco Ambrogi,5.0,22 ratings,100%,2.6,https://www.ratemyprofessors.com/professor/2877600
3,Thorsten Koeppl,2.0,13 ratings,25%,4.5,https://www.ratemyprofessors.com/professor/2004759
4,Nasrin Yousefi,4.0,9 ratings,78%,2.9,https://www.ratemyprofessors.com/professor/2877511
5,Liangbing  Luo,1.0,1 ratings,0%,N/A,https://www.ratemyprofessors.com/professor/3077702
6,Ping Li,3.4,56 ratings,85%,2.8,https://www.ratemyprofessors.com/professor/110284
7,Blake Steenhoven,5.0,44 ratings,100%,2.3,https://www.ratemyprofessors.com/professor/2722487
8,Ryan Martin,4.5,25 ratings,92%,3.5,https://www.ratemyprofessors.com/professor/821661
9,Philippe Stefano,1.7,21 ratings,16%,3.6,https://www.ratemyprofessors.com/professor/1686076
10,Andrew Grant,3.9,17 ratings,75%,2.8,https://www.ratemyprofessors.com/professor/1179946
11,Brian Ling,5.0,11 ratings,100%,2.3,https://www.ratemyprofessors.com/professor/2668682
12,John Pliniussen,4.5,146 ratings,96%,N/A,https://www.ratemyprofessors.com/professor/48445
13,Yuanzhu Chen,2.9,9 ratings,34%,3.9,https://www.ratemyprofessors.com/professor/2719648
14,Lisa Carver,1.0,4 ratings,0%,4.3,https://www.ratemyprofessors.com/professor/2921130
15,Stephen Larin,3.1,28 ratings,50%,3.7,https://www.ratemyprofessors.com/professor/2412919
16,Ian Strachan,5.0,7 ratings,100%,2.9,https://www.ratemyprofessors.com/professor/2877936
17,Sharon Regan,2.0,179 ratings,19%,3.9,https://www.ratemyprofessors.com/professor/512427
18,Salmoiraghi Federico,2.6,16 ratings,38%,3.8,https://www.ratemyprofessors.com/professor/2944587
19,Ugurhan Gazi Berkok,2.9,96 ratings,50%,3.7,https://www.ratemyprofessors.com/professor/45611
20,Kerah Gordon-Solmon,1.8,24 ratings,14%,3.3,https://www.ratemyprofessors.com/professor/1435112
21,Tiziana Cotechini,3.0,23 ratings,48%,4.2,https://www.ratemyprofessors.com/professor/2713806
22,Jennifer D Stephenson,4.5,21 ratings,100%,2.8,https://www.ratemyprofessors.com/professor/262208
23,Catherine Stinson,1.7,12 ratings,9%,3.3,https://www.ratemyprofessors.com/professor/2690599
24,Andrew Evans,1.5,2 ratings,0%,4.5,https://www.ratemyprofessors.com/professor/2584143
25,Alan Ableson,4.7,362 ratings,98%,2.6,https://www.ratemyprofessors.com/professor/124727
26,Mike Kennedy,2.9,21 ratings,60%,3.5,https://www.ratemyprofessors.com/professor/1544144
27,Leah Sookhoo,4.8,5 ratings,100%,2.6,https://www.ratemyprofessors.com/professor/2960533
28,Erin Meger,1.8,166 ratings,21%,3.6,https://www.ratemyprofessors.com/professor/2823076
29,Gregor Smith,4.7,41 ratings,94%,2.6,https://www.ratemyprofessors.com/professor/115905
30,Leandre R Fabrigar,3.6,97 ratings,48%,3.3,https://www.ratemyprofessors.com/professor/27828
31,Christopher Lohans,4.8,17 ratings,89%,3.2,https://www.ratemyprofessors.com/professor/2584110
32,Lonnie William Aarssen,2.5,81 ratings,29%,3.2,https://www.ratemyprofessors.com/professor/31291
33,Adam K Chippindale,4.3,77 ratings,86%,3.3,https://www.ratemyprofessors.com/professor/168703
34,Hazem Abbas,1.3,65 ratings,5%,4.5,https://www.ratemyprofessors.com/professor/2624201
35,Quinn Albaugh,1.8,59 ratings,24%,3.4,https://www.ratemyprofessors.com/professor/2850303
36,Cynthia Pruss,1.7,46 ratings,16%,3.9,https://www.ratemyprofessors.com/professor/2646967
37,Meghan Norris,1.8,32 ratings,22%,4.5,https://www.ratemyprofessors.com/professor/2369596
38,Katie Coleman,4.8,21 ratings,96%,2.6,https://www.ratemyprofessors.com/professor/2945353
39,Lisa Kerr,3.4,16 ratings,63%,3.4,https://www.ratemyprofessors.com/professor/2201198
40,Dawn Cunningham,4.6,14 ratings,92%,2.5,https://www.ratemyprofessors.com/professor/1966633
41,Jannice Friedman,5.0,13 ratings,100%,2.8,https://www.ratemyprofessors.com/professor/2595130
42,Joe Pagnan,3.3,11 ratings,55%,3.6,https://www.ratemyprofessors.com/professor/2730359
43,Danae Elon,4.4,7 ratings,86%,3.7,https://www.ratemyprofessors.com/professor/2666429
44,S Lougheed,4.8,6 ratings,100%,2.3,https://www.ratemyprofessors.com/professor/1149483
45,Ron Spronk,4.7,6 ratings,100%,3.5,https://www.ratemyprofessors.com/professor/2467814
46,Brian Matthew Frank,3.2,68 ratings,37%,4.1,https://www.ratemyprofessors.com/professor/113319
47,Grahame Renyk,4.5,40 ratings,96%,2.5,https://www.ratemyprofessors.com/professor/769307
48,Cristiana Zaccagnino,3.0,24 ratings,46%,2.5,https://www.ratemyprofessors.com/professor/1538715
49,Craig S Walker,4.3,17 ratings,100%,2.7,https://www.ratemyprofessors.com/professor/71978
