Building,Room Number,Room Type,Seats
Biosciences Complex,Biosciences 1101,Auditorium (A),450
Biosciences Complex,Biosciences 1102,Auditorium (A),302
Biosciences Complex,Biosciences 1120,Tiered (DT),45
Biosciences Complex,Biosciences 2109,Active Learning (AL),56
Botterell Hall,Botterell Hall B129,Active Learning (AL),54
Botterell Hall,Botterell Hall B139,Tiered (DT),107
Botterell Hall,Botterell Hall B143,Tiered (DT),107
Botterell Hall,Botterell Hall B147,Tiered (DT),105
Botterell Hall,Botterell Hall B148,Flat (DC),30
Chernoff Hall,Chernoff Hall 117,Tiered (DT),123
Chernoff Hall,Chernoff Hall 211,Flat (DC),60
Chernoff Hall,Chernoff Hall 213,Flat (DC),60
Chernoff Hall,Chernoff Hall AUD (Room 250),Auditorium (A),253
Duncan McArthur Hall,Duncan McArthur AUD (Room B101/B205),Auditorium (A),672
Dunning Hall,Dunning Hall 10,Active Learning (AL),96
Dunning Hall,Dunning Hall 11,Tiered (DT),82
Dunning Hall,Dunning Hall 12,Tiered (DT),85
Dunning Hall,Dunning Hall 14,Tiered (DT),152
Dunning Hall,Dunning Hall 27,Tiered (DT),67
Dunning Hall,Dunning Hall AUD (Room 020),Auditorium (A),425
Dupuis Hall,Dupuis Hall 215,Tiered (DT),104
Dupuis Hall,Dupuis Hall 217,Tiered (DT),104
Dupuis Hall,Dupuis Hall AUD (Room G01),Auditorium (A),217
Ellis Hall,Ellis Hall 218,Flexible Seating (FS),25
Ellis Hall,Ellis Hall 226,Active Learning (AL),60
Ellis Hall,Ellis Hall 319,Active Learning (AL),48
Ellis Hall,Ellis Hall 321,Active Learning (AL),136
Ellis Hall,Ellis Hall 324,Active Learning (AL),120
Ellis Hall,Ellis Hall 333,Active Learning (AL),70
Ellis Hall,Ellis Hall AUD (Room 152),Auditorium (A),247
Etherington Hall,Etherington Hall AUD (Room G020/1031),Auditorium (A),289
Goodwin Hall,Goodwin Hall 247,Flat (DC),43
Goodwin Hall,Goodwin Hall 254,Flat (DC),63
Humphrey Hall,Humphrey Hall​ 131,Active Learning (AL),30
Humphrey Hall,Humphrey Hall​ 132,Active Learning (AL),30
Humphrey Hall,Humphrey Hall​ 223,Active Learning (AL),30
Humphrey Hall,Humphrey Hall​ AUD (Room 102),Auditorium (A),221
isabel-bader-centre-performing-arts,Isabel Bader Centre 312,Flat (I),32
isabel-bader-centre-performing-arts,Isabel Bader Centre 329,Flat (I),60
isabel-bader-centre-performing-arts,Isabel Bader Centre 342,Flat (I),32
Jeffery Hall,Jeffery Hall 101,Flat (DC),64
Jeffery Hall,Jeffery Hall 102,Flat (DC),31
Jeffery Hall,Jeffery Hall 110,Flat (DC),31
Jeffery Hall,Jeffery Hall 115,Flat (DC),30
Jeffery Hall,Jeffery Hall 116,Flat (DC),33
Jeffery Hall,Jeffery Hall 118,Flat (DC),65
Jeffery Hall,Jeffery Hall 126,Tiered (DT),109
Jeffery Hall,Jeffery Hall 127,Tiered (DT),132
Jeffery Hall,Jeffery Hall 128,Tiered (DT),109
Jeffery Hall,Jeffery Hall 155,Active Learning (AL),152
Jeffery Hall,Jeffery Hall 156,Active Learning (AL),152
Jeffery Hall,Jeffery Hall 225,Flat (DC),65
Jeffery Hall,Jeffery Hall 234,Flat (DC),70
Jeffery Hall,Jeffery Hall 319,Flat (DC),20
Jeffery Hall,Jeffery Hall 422,Flat (DC),31
Kinesiology and Health Studies,Kinesiology 100,Tiered (DT),173
Kinesiology and Health Studies,Kinesiology 101,Tiered (DT),106
Kinesiology and Health Studies,Kinesiology 102,Seminar (SD),16
Kinesiology and Health Studies,Kinesiology 103,Seminar (SD),16
Kinesiology and Health Studies,Kinesiology 104,Seminar (SD),24
Kinesiology and Health Studies,Kinesiology 105,Seminar (SD),16
Kinesiology and Health Studies,Kinesiology 106,Flat (DC),36
Kinesiology and Health Studies,Kinesiology 107,Flat (DC),36
Kingston Hall,Kingston Hall​ 101,Tiered (DT),144
Kingston Hall,Kingston Hall​ 104,Flat (DC),40
