course_code,name,num_students,prof
ANAT100,Anatomy of the Human Body,148,Leslie W MacKenzie
ANAT215,Principles of Human Morphology I,141,Leslie W MacKenzie
ANAT315,The Human Musculoskeletal System,82,Ronald Easteal
ANAT316,The Human Visceral Systems,141,Diane Tomalty
ANSH101,Beginning Anishinaabe Language and Culture I,101,Kimberley Debassige
ARAB200,Intermediate Modern Standard Arabic,69,Amal Eldiaby
ARTH116,Art and Architecture in Britain from the Classical Period to c.1700,122,Ruth Cereceda
ARTH120,Art in the West from Antiquity to Modernity,89,Gauvin Bailey
ARTH121,Introduction to Global Art Histories,89,Gauvin Bailey
ARTH210,An Introduction to Technical Art History,119,Ron Spronk
ARTH214,"Antiquity and Nature in Renaissance Art, 1300-1500",146,Cathleen Hoeniger
ARTH220,Socially Engaged Art,31,Jennifer Kennedy
ARTH248,Introduction to Indigenous Arts of North America,98,Norman Vorano
ARTH253,Baroque Art,143,Gauvin Bailey
ARTH260,Culture and Conflict,44,Cathleen Hoeniger
ARTH272,Latin American Art,142,Gauvin Bailey
ARTH292,"Modern Architecture: Aesthetics, Capitalism, Industry",91,Katherine Romba
ARTH306,Modern Architecture in Germany: A Social History,63,Katherine Romba
ARTH308,Gothic Art in Europe c.1150-1400,106,Matthew Reeve
ARTH352,Printmaking in Early Modern Europe,72,Stephanie Dickey
ARTH374,16th-Century Netherlandish Painting,118,Ron Spronk
ARTH383,The City,125,Katherine Romba
ARTH391,Art Forgeries,32,Dawn Cunningham
ARTH434,Non-Western Art in Western Collections,136,Lynda L Jessup
ARTH451,Caravaggio and Artemisia,109,Gauvin Bailey
ASCX150,Learning and Working in a Digital World,105,Kerim Kartal
ASTR101,Astronomy I: Solar System,62,David Alan Hanes
ASTR102,"Astronomy II: Stars, Galaxies, and the Universe",60,Aaron Vincent
BCHM102,Introduction to Biochemistry,31,Laura van Staalduinen
BCHM218,Molecular Biology,114,Mark Ormiston
BCHM270,Biochemical Basis of Health and Disease,108,Cynthia Pruss
BCHM310,General Biochemistry,138,Glenville Jones
BCHM315,Proteins and Enzymes,123,Robert Campbell
BCHM316,Metabolism,67,Glenville Jones
BCHM370,Genetics and Genomics,96,Laura van Staalduinen
BIOL102,Fundamentals of Biology: Molecular and Cell Biology,104,George diCenzo
BIOL103,Fundamentals of Biology: Organisms to Ecosystems,101,Christopher G Eckert
BIOL200,Diversity of Life,132,Paul Grogan
BIOL205,Mendelian and Molecular Genetics,104,Ian D Chin-Sang
BIOL206,Evolutionary Genetics,41,Jannice Friedman
BIOL243,Introduction to Statistics,26,Sarah Yakimowski
BIOL300,Ecology,20,Paul Martin
BIOL315,Plants and Human Culture,101,Sarah Yakimowski
BIOL321,Animal Behaviour,115,Laura Nagel
BIOL330,Cell Biology,39,Sharon Regan
BIOL334,Comparative Biochemistry,53,Susan Yates
BIOL339,Animal Physiology,71,Yuxiang S Wang
BIOL343,Data Analysis for Biologists,118,Christopher G Eckert
BIOL350,Evolution and Human Affairs,77,Lonnie Aarsen
BIOL360,Biotechnology and Society,72,Daniel Lefebvre
BIOL369,Sex and Evolution,133,Adam K Chippindale
BIOL403,Experimental Techniques in Biology,90,Laurent Seroude
BIOL430,Molecular Genetics of Development,126,Ian D Chin-Sang
BIOL432,Computation and Big Data in Biology,102,Robert Colautti
BIOL439,Natural Selection and Microevolution,85,Jannice Friedman
BIOL440,Speciation and Macroevolution,111,S Lougheed
BIOL441,Molecular Genetics,64,Laurent Seroude
BIOL535,Selected Topics in Biology,45,George diCenzo
CANC380,Evolutionary Biology of Cancer,72,Tiziana Cotechini
CRSS454,Cardiovascular Sciences,112,Michael A Adams
CRSS456,Molecular and Cellular Basis of Cardiovascular Disease,75,Donald Maurice
CHIN100,Introductory Mandarin Chinese I,58,Xuelin Bai
