natural_language_query,sql_query
courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE prereq_codes IS NULL"
what are the courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE prereq_codes IS NULL"
I need courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE prereq_codes IS NULL"
which courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE prereq_codes IS NULL"
I want to see courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE prereq_codes IS NULL"
show me courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE prereq_codes IS NULL"
find all courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE prereq_codes IS NULL"
list all courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE prereq_codes IS NULL"
get me courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE prereq_codes IS NULL"
first year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND prereq_codes IS NULL"
what are the 4th year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND prereq_codes IS NULL"
show me second year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND prereq_codes IS NULL"
list all third year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND prereq_codes IS NULL"
find all 4th year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND prereq_codes IS NULL"
which 3rd year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND prereq_codes IS NULL"
what are the third year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND prereq_codes IS NULL"
find all second year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND prereq_codes IS NULL"
I need 3rd year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND prereq_codes IS NULL"
what are the first year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND prereq_codes IS NULL"
which fourth year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND prereq_codes IS NULL"
I need 4th year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND prereq_codes IS NULL"
list all 2nd year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND prereq_codes IS NULL"
show me 2nd year courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND prereq_codes IS NULL"
