,Unnamed: 0,course_code,course_name,units,description,requirements,faculty,outcomes,prerequisites,corequisites,exclusions,recommended
0,0,ANAT 100,Anatomy of the Human Body,3.00,"This anatomy course is designed to introduce students to the basic structure and functional relationship of the human body. Through a series of weekly learning modules, students will learn about the basic language of Gross Anatomy and Histology in order to understand the working of various body systems. This course is also suitable for individuals who have a general interest in human anatomy.",Exclusion ANAT 101/3.0; IDIS 150/6.0 One-Way Exclusion May not be taken with or after: ANAT 215/3.0; ANAT 216/3.0; ANAT 312/3.0; ANAT 315/3.0; ANAT 316/3.0,Offering Faculty: Faculty of Health Sciences,"Course Learning Outcomes:
Analyze the gross (macroscopic) and histology (microscopic) anatomy of the tissues and organs that constitute the human body
Apply appropriate anatomical terms and concepts for the purpose of identification, effective communication, and critical reading of relevant literature
Demonstrate the ability to collaborate and work effectively and respectfully with diverse teams
Describe the integrated relationship between histology and gross anatomy with respect to structure and function, and be able to extend that knowledge to various aspects of development and function
Employ a systematic logical thinking process to help you recognize anatomical structures and predict the physiological functions of body systems",,,ANAT 101/3.0; IDIS 150/6.0 One-Way Exclusion May not be taken with or after: ANAT 215/3.0; ANAT 216/3.0; ANAT 312/3.0; ANAT 315/3.0; ANAT 316/3.0,
1,1,ANAT 101,Introductory Human Anatomy,3.00,"A basic anatomy course with an emphasis on clinical relevance of structure and function of human body systems. 
RECOMMENDATION 4U Biology.",Exclusion ANAT 101/3.0; IDIS 150/6.0 One-Way Exclusion May not be taken with or after: ANAT 215/3.0; ANAT 216/3.0; ANAT 312/3.0; ANAT 315/3.0; ANAT 316/3.0,Offering Faculty: Faculty of Health Sciences,,,,ANAT 101/3.0; IDIS 150/6.0 One-Way Exclusion May not be taken with or after: ANAT 215/3.0; ANAT 216/3.0; ANAT 312/3.0; ANAT 315/3.0; ANAT 316/3.0,
2,2,ANAT 215,Principles of Human Morphology I,3.00,"The general principles of human structure and function as appreciated through a survey of the morphological sciences, including: history of anatomy; embryology; neuroanatomy; developmental, microscopic and gross anatomy of the locomotor system.
NOTE Priority will be given to students registered in a LISC Specialization Plan.",Prerequisite (BIOL 102 and BIOL 103) or (BIOL 201 and BIOL 202) or permission of the Department of Biomedical Molecular Sciences. Exclusion ANAT 315.,Offering Faculty: Faculty of Health Sciences,,(BIOL 102 and BIOL 103) or (BIOL 201 and BIOL 202) or permission of the Department of Biomedical Molecular Sciences.,,ANAT 315.,
3,3,ANAT 216,Principles of Human Morphology II,3.00,"The general principles of human structure and function as appreciated through a survey of the development, microscopic and gross anatomy of the body systems: cardiovascular, respiratory, immune/lymphatic, endocrine, digestive and genitourinary.
NOTE Priority will be given to students registered in a LISC Specialization Plan.",Prerequisite ANAT 215. Exclusion ANAT 316.,Offering Faculty: Faculty of Health Sciences,,ANAT 215.,,ANAT 316.,
4,4,ANAT 270,Human Anatomy and Morphology,3.00,"This course is designed to introduce the foundations of human structure and function to students at all levels of post-secondary education. Through a series of learning modules, students will develop an understanding of the architecture of the human body through interactive study using a virtual cadaver. This course will survey the gross and microscopic anatomy of the body organ systems including the skeletal, muscular, nervous, endocrine, cardiovascular, lymphatic/immune, respiratory, digestive, urinary and reproductive systems.
NOTE Only offered online. Consult the Bachelor of Health Sciences program office.
NOTE May not be taken for credit towards the Plan requirements of the LISC Specialization or Major Plans.",Prerequisite Level 2 and one of (ANAT 100; BIOL 102; PHGY 170) One-Way Exclusion May not be taken with or after ANAT215; ANAT216; ANAT315; ANAT316.,Offering Faculty: Faculty of Health Sciences,,Level 2 and one of (ANAT 100; BIOL 102; PHGY 170) One-Way,,May not be taken with or after ANAT215; ANAT216; ANAT315; ANAT316.,
5,5,ANAT 309,Functional Histology,3.00,"Introduction to mammalian histology, or microscopic anatomy, a branch of anatomical sciences focusing on structures and functions of tissues and cells at the light and electron microscope level. Structure-function relationships within many tissues and organs at the cell and tissue level will be a focus.
NOTE Priority will be given to students registered in a LISC Specialization Plan or Health Sciences plan.",Prerequisite Level 3 or above and (PHGY 170 or BIOL 102 or BIOL 103 or BIOL 202).,Offering Faculty: Faculty of Health Sciences,"Course Learning Outcomes:
Compare, contrast and discuss the differences in the organization and structure of the four basic tissue types and their association into organs and systems
Describe normal structure-function relationships within cells and tissues as well as recognize abnormal histology, such that a prediction of the consequences of this disruption can be made for a disease state
Recognize and describe the organization of the mammalian cell and the function of the major cell organelles
Using histological sections, identify the four basic tissue types and various tissues, organs and cell types",Level 3 or above and (PHGY 170 or BIOL 102 or BIOL 103 or BIOL 202).,,,
6,6,ANAT 312,Functional Neuroanatomy,3.00,"Study of the structure and function of the nervous system by lectures, hands-on laboratories, brain dissection, and readings. Topics include, but are not limited to, sensory and motor systems, brain imaging, and clinical examples.",Prerequisite (ANAT 215 and ANAT 216) or (ANAT 315 and ANAT 316) or (PHGY 215 and PHGY 216).,Offering Faculty: Faculty of Health Sciences,"Course Learning Outcomes:
Understand and apply appropriate anatomical terms and concepts for the purpose of identification, effective communication and critical reading of relevant literature.
Analyze the gross (macroscopic) and histological (microscopic) anatomy of the tissues and organs that constitute the human nervous system.
Employ a systematic logical thinking process to help you recognize anatomical structures and predict the physiological functions of the nervous system.
Describe the integrated relationship between gross and histological neuroanatomy with respect to structure and function, and be able to extend that knowledge to various aspects of development and function.
Demonstrate an ability to collaborate and work effectively and respectfully with diverse teams.",(ANAT 215 and ANAT 216) or (ANAT 315 and ANAT 316) or (PHGY 215 and PHGY 216).,,,
7,7,ANAT 315,The Human Musculoskeletal System,3.00,"Gross and functional anatomy of the back, body wall, upper and lower limbs, including blood supply and neural controls.",Prerequisite (BIOL 102 and BIOL 103) or (BIOL 201/3.0 and BIOL 202/3.0) or KNPE 153. Exclusion ANAT 215.,Offering Faculty: Faculty of Health Sciences,,(BIOL 102 and BIOL 103) or (BIOL 201/3.0 and BIOL 202/3.0) or KNPE 153.,,ANAT 215.,
8,8,ANAT 316,The Human Visceral Systems,3.00,"Gross and functional anatomy of the thorax, abdomen and pelvis, head and neck.",Prerequisite ([BIOL 102 and BIOL 103] or [BIOL 201/3.0 and BIOL 202/3.0] or KNPE 153) or permission of the Department of Biomedical and Molecular Sciences. Exclusion ANAT 216.,Offering Faculty: Faculty of Health Sciences,,([BIOL 102 and BIOL 103] or [BIOL 201/3.0 and BIOL 202/3.0] or KNPE 153) or permission of the Department of Biomedical and Molecular Sciences.,,ANAT 216.,
9,9,ANAT 380,Clinically Relevant Human Anatomy,3.00,"ANAT 380 will explore regional anatomy of the human body focusing on the major organ systems, their components, and the relationships between them. In this course, students will apply anatomical knowledge to collaboratively solve case-based clinical scenarios, and develop a realistic clinical case based on an underlying anatomical issue.
Note: Also offered online.",Minimum 3nd year standing one of: ANAT 100 OR ANAT 101 OR ANAT 215/216 OR ANAT 315/316 AND one of: PHGY 215/216 OR KNPE 125/225,Offering Faculty: Faculty of Health Sciences,"Course Learning Outcomes:
1. Analyze the gross anatomy of the organs that constitute the different regions of the human body to predict the physiological functional relationship. (PLO 2, 3, 6, 8; Assessment 1-4)
2. Integrate module content, medical terminology, and external medical literature to collaboratively solve case-based problems related to anatomical issues. (PLO 2, 8; Assessment 1, 2, 4)
3. Apply knowledge gained from course content to develop an anatomically accurate clinical scenario and clearly communicate orally both anatomical and medical terminology. (PLO 2, 8; Assessment 2)",,,,
